Crude oil for April delivery traded at $37.80 a barrel, down 28 cents.	Crude oil prices rose to $37.80 per barrel.
Oracle had fought to keep the forms from being released.	Oracle released a confidential document.
iTunes software has seen strong sales in Europe.	Strong sales for iTunes in Europe.
All genetically modified food, including soya or maize oil produced from GM soya and maize, and food ingredients, must be labelled.	Companies selling genetically modified foods don't need labels.
Researchers at the Harvard School of Public Health say that people who drink coffee may be doing a lot more than keeping themselves awake - this kind of consumption apparently also can help reduce the risk of diseases.	Coffee drinking has health benefits.
Eating lots of foods that are a good source of fiber may keep your blood glucose from rising too fast after you eat.	Fiber improves blood sugar control.
The Yankees split Hollywood with something to feel OK about after last night's 5-4 loss to the Dodgers.	Dodgers lose first game ever at Fenway.
Scientists at the Genome Institute of Singapore (GIS) have discovered the complete genetic sequence of a coronavirus isolated from a Singapore patient with SARS.	Singapore scientists reveal that SARS virus has undergone genetic changes.
Phish disbands after a final concert in Vermont on Aug. 15.	Rock band Phish holds final concert in Vermont.
Euro-Scandinavian media cheer Denmark v Sweden draw.	Denmark and Sweden tie.
Iraqi militants said Sunday they would behead Kim Sun-Il, a 33-year-old translator, within 24 hours unless plans to dispatch thousands of South Korean troops to Iraq were abandoned.	translator kidnapped in Iraq.
Two Turkish engineers and an Afghan translator kidnapped in December were freed Friday.	translator kidnapped in Iraq.
If a Mexican approaches the border, he's assumed to be trying to illegally cross.	Mexicans continue to illegally cross border.
Green cards are becoming more difficult to obtain.	Green card is now difficult to receive.
Iran will soon release eight British servicemen detained along with three vessels.	British servicemen detained.
The wait time for a green card has risen from 21 months to 33 months in those same regions.	It takes longer to get green card.
Coal company stocks got a lift Monday morning after an article in Barron's said the industry was benefiting from soaring natural gas prices and the advent of new power plants that emit less pollution.	Coal stocks rise.
The Royal Navy servicemen being held captive by Iran are expected to be freed today.	British servicemen detained.
Total coal stocks with the thermal power stations came down to 9.6 million tonnes on March 3, 2003 from 11 million tonnes on October 1, 2002.	Coal stocks rise.
Anorexia in males accounted for approximately six percent of cases seen in an eating disorder clinic.	Anorexia becomes common in males.
There are discussions in California and Arizona to allow illegal aliens to have driver's licenses.	California driver's licenses granted to illegal immigrants.
South Korea's deputy foreign minister says his country won't change its plan to send three-thousand soldiers to Iraq, despite the kidnapping of a South Korean man there.	South Korea continues to send troops.
Clinton's new book is not big seller here.	Clinton's book is a big seller.
The privately owned spacecraft only got about 400 feet into space, according to radar measurements, but it was enough to confirm that it no longer takes a well-heeled government project to organize space travel.	private spaceship launches.
The media always talk about the Dow being up or down a certain number of points.	Dow Jones is down.
The Federal Aviation Administration's Associate Administrator for Commercial Space Transportation (FAA/AST) has given license approval to Scaled Composites of Mojave, California, permitting the firm to expand flight testing of SpaceShipOne  -- a privately-financed rocket plane to carry passengers to suborbital altitude.	Private spaceship launches.
The Los Angeles Lakers rolled over the Indiana Pacers in Wednesday's the opening round game of the NBA championship series.	Lakers win the championship.
World health officials warned yesterday that West Africa and Central Africa were on the verge of the worst polio outbreak in years, stemming from the refusal of a single state in northern Nigeria to vaccinate children against the disease.	African polio outbreak feared.
The country's largest private employer, Wal-Mart Stores Inc., is being sued by a number of its female employees who claim they were kept out of jobs in management because they are women.	Wal-Mart sued for sexual discrimination.
The last polio outbreak in the United States was in 1979.	African polio outbreak feared.
The Massachusetts Supreme Judicial Court has cleared the way for lesbian and gay couples in the state to marry, ruling that government attorneys failed to identify any constitutionally adequate reason to deny them the right.	U.S. Supreme Court in favor of same-sex marriage.
In June the Supreme Court ruled that anti-sodomy laws are unconstitutional.	U.S. Supreme Court in favor of same-sex marriage.
Sharon warns Arafat could be targeted for assassination.	prime minister targeted for assassination.
Kurdistan Regional Government Prime Minister Dr. Barham Salih was unharmed after an assassination attempt.	prime minister targeted for assassination.
Wal-Mart faces huge sex discrimination suit.	Wal-Mart faces a sex-discrimination suit.
International journalists' organisations are accusing the U.S. government of committing war crimes in Iraq by intentionally firing at war correspondents.	US withdraws war crimes.
It has become increasingly clear that Iran is making rapid progress toward attaining a nuclear weapons capability as U.S. officials have confirmed the presence of various nuclear sites that Tehran has failed to disclose.	Iranian chemical weapons threaten United States.
A Cuban American who is accused of espionage pleads innocent.	American accused of espionage.
A Syrian-American airman accused of espionage complained about prisoner treatment at the US base in Guantanamo, Cuba.	American accused of espionage.
The Daily Telegraph, most prized asset in Lord Conrad Black's crumbling media empire, has been sold to Britain's Barclay twins.	Daily telegraph is sold.
The Daily Mail has confirmed it has pulled out of the bidding for rival newspaper the Daily Telegraph.	Daily telegraph is sold.
On November 25, 2001, a baby Asian elephant was born at the National Zoo in Washington, DC.	baby elephant born.
The 10-day-old test-tube baby elephant born at Colchester Zoo has found a name, thanks to the internet!.	baby elephant born.
Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma.	skin cancer numbers increase.
Wasp and bee stings can be life threatening if you are allergic to the venom.	bee stings can be fatal.
The State of California Department of Occupational Health and Safety released its report on the September 5 fatal accident on Disneyland's Big Thunder Mountain Railroad attraction.	Disneyland has accident.
The incident in Mogadishu, the Somali capital, came as U.S. forces began the  final phase of their promised March 31 pullout.	The capital of Somalia is Mogadishu.
The two attacks last week by the Islamic Resistance Movement, as Hamas is formally known, dramatized for both Israelis and Palestinians the dangers they face in pursuing peaceful coexistence.	The Islamic Resistance Movement is also known as Hamas.
But most Israelis, including those sympathetic to the settlers' efforts to reclaim all the territory that was part of the biblical Land of Israel, reacted with horror to the Hebron killings and the subsequent violence.	Hebron is located 20 miles south of Jerusalem.
The Republic of Tajikistan, which declared independence from the Soviet Union in 1991, is in a region that has changed hands many times.	The Soviet Union collapsed in 1991.
Soprano's Square: Milan, Italy, home of the famed La Scala opera house, honored soprano Maria Callas on Wednesday when it renamed a new square after the diva.	La Scala opera house is located in Milan, Italy.
I just hope I don't become so blissful I become boring. -- Nirvana leader Kurt Cobain, giving meaning to his Teen Spirit coda a denial.	Smells Like Teen Spirit is a song by Nirvana.
Prime Minister Silvio Berlusconi was elected March 28 with a mandate to reform Italy's business regulations and pull the economy out of recession.	The Italian Prime Minister is Silvio Berlusconi.
Norway's most famous painting, The Scream by Edvard Munch, was recovered Saturday, almost three months after it was stolen from an Oslo museum.	Edvard Munch painted The Scream.
Government forces killed the head of the Armed Islamic Group, or GIA, which has claimed responsibility for killing 61 foreigners in the last year.	The abbreviation GIA stands for Armed Islamic Group.
I guess you have to expect this in a growing community, said Mardelle Kean, who lives across the street from John Joseph Famalaro, charged in the death of Denise A. Huber, who was 23 when she disappeared in 1991.	John J. Famalaro is accused of having killed Denise A. Huber.
In the very same room in fall, 1992, George Bush prepped to debate Clinton and Ross Perot in practice sessions with Chief of Staff John H. Sununu.	Ross Perot ran for president in 1992.
Camacho is a Mexican version of Japan's Morihiro Hosokawa -- a pragmatic tactician using a crisis and the attendant outcry for reform to further his political standing.	The Japanese Prime Minister is Morihiro Hosokawa.
A farmer who was in contact with cows suffering from BSE -- the so-called mad cow disease -- has died from what is regarded as the human form of the disease.	Bovine spongiform encephalopathy is another name for the mad cow disease.
Doctors who treated Ayrton Senna after he crashed during the San Marino Grand Prix have denied allegations that the Brazilian driver died at the Imola track.	Ayrton Senna had the accident that caused his death at the San Marino Grand Prix.
The black Muslim activist said that he had relieved Muhammad of his duties until he demonstrates that he is willing to conform to the manner of representing Allah and the honorable Elijah Muhammad (founder of the Nation of Islam).	Elijah Muhammad founded the Nation of Islam.
Oil prices, notoriously vulnerable to political events, spiked as high as $40 a barrel during the Gulf War in 1991.	The Gulf War was fought in 1991.
Easter is over but that doesn't mean you can't enjoy Ben-Hur, the granddaddy of biblical epics and winner of a record 11 Oscars, including best picture and best actor (Charlton Heston in the title role).	Charlton Heston played the title role in the movie Ben-Hur.
The anti-terrorist court found two men guilty of murdering Shapour Bakhtiar and his secretary Sorush Katibeh, who were found with their throats cut in August 1991.	Shapour Bakhtiar died in 1991.
The program will include Falla's Night in the Gardens of Spain, Ravel's Piano Concerto in G, Berlioz's Overture to Beatrice and Benedict, and Roy Harris' Symphony No. 3.	Beatrice and Benedict is an overture by Berlioz.
To the world, M. Larry Lawrence, the new U.S. emissary to Switzerland who hosted President Clinton on his Southern California vacation, will be known as Mr. Ambassador.	Larry Lawrence is the head of the U.S. Embassy in Switzerland.
Amid rumors that China's 90-year-old senior leader, Deng Xiaoping, is near death, the visit also comes at a propitious moment to establish relationships with top officials, both military and civilian, who are likely to play a role in the post-Deng succession period as China struggles to find a new leader.	Deng Xiaoping is 90 years old.
While civilians ran for cover or fled to the countryside, Russian forces were seen edging their artillery guns closer to Grozny, and Chechen fighters were offering little resistance.	Grozny is the capital of Chechnya.
Former tennis star Vitas Gerulaitis died in such fashion in September, from a lethal carbon monoxide buildup related to the faulty installation of a propane heater.	Vitas Gerulaitis died of carbon monoxide poisoning.
The two suspects belong to the 30th Street gang, which became embroiled in one of the most notorious recent crimes in Mexico: a shootout at the Guadalajara airport in May, 1993, that killed Cardinal Juan Jesus Posadas Ocampo and six others.	Cardinal Juan Jesus Posadas Ocampo died in 1993.
Two midsummer cruises aboard Clipper Adventure Cruises' 140-passenger World Discoverer (July 8 and Aug. 9) will take you to the wind-swept cliffs of the Pribilof Islands in the Bering Sea, where cartoon-faced horned and tufted puffins stare.	The Pribilof Islands are located in the Bering Sea.
That prompted Clinton, wife Hillary Rodham Clinton and daughter Chelsea to spend a cold and dreary Saturday in Minsk.	Clinton's wife is called Hillary Rodham Clinton.
Judie Vivian, chief executive at ProMedica, a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City (formerly Saigon), said that so far about 1,500 children have received treatment.	The previous name of Ho Chi Minh City was Saigon.
A jury is slated to decide for the first time whether Jack Kevorkian, famed as Dr. Death, has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives.	Jack Kevorkian is the real name of Dr. Death.
He endeared himself to artists by helping them in lean years and following their careers, said Henry Hopkins, chairman of UCLA's art department, director of the UCLA/Armand Hammer Museum and Cultural Center and former director of the Weisman foundation.	The UCLA/Hammer Museum is directed by Henry Hopkins.
Before the game, Alabama Birmingham Athletic Director and Coach Gene Bartow presented Cal State Northridge with a $5,000 check from Rust International Corp., for earthquake relief.	Gene Bartow coaches Alabama Birmingham.
For the first time in history, the players are investing their own money to ensure the future of the game, Atlanta Brave pitcher Tom Glavine said.	Tom Glavine plays for the Atlanta Braves.
Wilson has, after all, produced all three Offspring albums, including Smash, the one that has astonished everybody by selling 1 million copies in four months, establishing the heretofore unknown group as the leader, with Green Day, of an unprecedented wave of commercial success for punk.	Smash is the title of the third album of the Offspring.
Historians estimate that 800,000 Chechens were stuffed into rail cars and deported to Kazakhstan and Siberia, and 240,000 of them died en route.	Stalin deported 800,000 Chechens.
Germans vote for a party, rather than a person, and the left-of-center Social Democrats do not score as well in polls as Scharping himself.	Rudolph Scharping is a member of the Social Democrats.
That film wasn't too successful, but then 'WarGames,' which was successful, came out right when I won the Tony for 'Brighton Beach' in 1983.	The film WarGames was shot in 1983.
About half were along a 20-mile stretch of Santa Monica Bay from Topanga Canyon Boulevard to the Palos Verdes Peninsula.	The coastline of Santa Monica Bay is 50 miles long.
