An Italian became the world 's greatest tenor	There was an Italian who became the world 's greatest tenor
Every Italian man wants to be a great tenor.Some Italian men are great tenors	There are Italian men who want to be a great tenor
All Italian men want to be a great tenor.Some Italian men are great tenors	There are Italian men who want to be a great tenor
Each Italian tenor wants to be great.Some Italian tenors are great	There are Italian tenors who want to be great
The really ambitious tenors are Italian	There are really ambitious tenors who are Italian
No really great tenors are modest	There are really great tenors who are modest
Some great tenors are Swedish	There are great tenors who are Swedish
Several great tenors are British	There are great tenors who are British
Both leading tenors are excellent.Leading tenors who are excellent are indispensable	Both leading tenors are indispensable
Neither leading tenor comes cheap.One of the leading tenors is Pavarotti	Pavarotti is a leading tenor who comes cheap
An Irishman won the Nobel prize for literature	An Irishman won a Nobel prize
Every European has the right to live in Europe.Every European is a person.Every person who has the right to live in Europe can travel freely within Europe	Every European can travel freely within Europe
All Europeans have the right to live in Europe.Every European is a person.Every person who has the right to live in Europe can travel freely within Europe	All Europeans can travel freely within Europe
Each European has the right to live in Europe.Every European is a person.Every person who has the right to live in Europe can travel freely within Europe	Each European can travel freely within Europe
The residents of member states have the right to live in Europe.All residents of member states are individuals.Every individual who has the right to live in Europe can travel freely within Europe	The residents of member states can travel freely within Europe
No delegate finished the report on time	No delegate finished the report
Some delegates finished the survey on time	Some delegates finished the survey
Several delegates got the results published in major national newspapers	Several delegates got the results published
Both commissioners used to be leading businessmen	Both commissioners used to be businessmen
Neither commissioner spends a lot of time at home	Neither commissioner spends time at home
An Irishman won a Nobel prize	An Irishman won the Nobel prize for literature
Every European can travel freely within Europe.Every European is a person.Every person who has the right to live in Europe can travel freely within Europe	Every European has the right to live in Europe
All Europeans can travel freely within Europe.Every European is a person.Every person who has the right to live in Europe can travel freely within Europe	All Europeans have the right to live in Europe
Each European can travel freely within Europe.Every European is a person.Every person who has the right to live in Europe can travel freely within Europe	Each European has the right to live in Europe
The residents of member states can travel freely within Europe.All residents of member states are individuals.Every individual who has the right to live anywhere in Europe can travel freely within Europe	The residents of member states have the right to live anywhere in Europe
No delegate finished the report	Some delegate finished the report on time
Some delegates finished the survey	Some delegates finished the survey on time
Several delegates got the results published	Several delegates got the results published in major national newspapers
Both commissioners used to be businessmen	Both commissioners used to be leading businessmen
Neither commissioner spends time at home	One of the commissioners spends a lot of time at home
A Swede won a Nobel prize.Every Swede is a Scandinavian	A Scandinavian won a Nobel prize
Every Canadian resident can travel freely within Europe.Every Canadian resident is a resident of the North American continent	Every resident of the North American continent can travel freely within Europe
All Canadian residents can travel freely within Europe.Every Canadian resident is a resident of the North American continent	All residents of the North American continent can travel freely within Europe
Each Canadian resident can travel freely within Europe.Every Canadian resident is a resident of the North American continent	Each resident of the North American continent can travel freely within Europe
The residents of major western countries can travel freely within Europe.All residents of major western countries are residents of western countries	The residents of western countries have the right to live in Europe
No Scandinavian delegate finished the report on time	Some delegate finished the report on time
Some Irish delegates finished the survey on time	Some delegates finished the survey on time
Several Portuguese delegates got the results published in major national newspapers	Several delegates got the results published in major national newspapers
A Scandinavian won a Nobel prize.Every Swede is a Scandinavian	A Swede won a Nobel prize
Every resident of the North American continent can travel freely within Europe.Every Canadian resident is a resident of the North American continent	Every Canadian resident can travel freely within Europe
All residents of the North American continent can travel freely within Europe.Every Canadian resident is a resident of the North American continent	All Canadian residents can travel freely within Europe
Each resident of the North American continent can travel freely within Europe.Every Canadian resident is a resident of the North American continent	Each Canadian resident can travel freely within Europe
The residents of western countries can travel freely within Europe.All residents of major western countries are residents of western countries	The residents of major western countries have the right to live in Europe
No delegate finished the report on time	Some Scandinavian delegate finished the report on time
Some delegates finished the survey on time	Some Irish delegates finished the survey on time
Several delegates got the results published in major national newspapers	Several Portuguese delegates got the results published in major national newspapers
